Collection,Code,ProductVariation,ProductGroup,DesignVariation,Grade,Construction,Textures,Finishes,EdgeDetail,Species,Certification
CLASSIC TONES,OBL2GR49A,Ashfield Narrow Herringbone,Ashfield,Narrow Herringbone ,Nature  ,2Ply Engineered,Smooth,Hardened Lacquer,Square Shoulder,European Oak,FSC® 100%
CLASSIC TONES,CLASS022C,Kielder Extra Wide Plank,Kielder,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,CLASSBL001C,Kielder Herringbone,Kielder,Herringbone   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,OA18SMKN/3,Madingley Plank,Madingley,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,OA22SMKN/3,Madingley Extra Wide Plank,Madingley,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,OGR2BL50,Parkhurst Herringbone,Parkhurst,Herringbone   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,OA14OI08,Sherwood Plank,Sherwood,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,OA18OI08,Sherwood Plank,Sherwood,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,OA16ANMB,Sherwood Plank,Sherwood,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,Oa22AnMB,Sherwood Extra Wide Plank,Sherwood,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,OAN2BL50,Sherwood Herringbone,Sherwood,Herringbone   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,CANN220A,Cannock Chase Extra Wide Plank,Cannock Chase,Extra Wide Plank ,Nature  ,2Ply Engineered,Smooth,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,Allex180B,Allexton Plank,Allexton,Plank   ,Nature  ,2Ply Engineered,Brushed,Matt Lacquer,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,Allex220B,Allexton Extra Wide Plank,Allexton,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Matt Lacquer,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,HOLLI180A,Hollington Plank,Hollington,Plank   ,Nature  ,2Ply Engineered,Brushed,Matt Lacquer,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,HOLLI220A,Hollington Extra Wide Plank,Hollington,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Matt Lacquer,Micro Bevel,European Oak,FSC® 100%
